;Topology;Params;Number_Iterations;Number_Particles;C1;C2;W;Mean bests_Results;Best of Iterations
46;ALL;Number of interations: 50 C1: 1 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.5;0.00039928242436966245;0.0001999109727752746
47;ALL;Number of interations: 50 C1: 1 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;1.0;2.0;0.9;3.838413820621972;2.9565245168117618
48;ALL;Number of interations: 100 C1: 0.1 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.3;0.05531808404971565;0.004262246041552675
49;ALL;Number of interations: 100 C1: 0.1 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.5;0.42255889197343527;0.04506112049199773
50;ALL;Number of interations: 100 C1: 0.1 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.9;0.0023918612540005492;0.0013134435997952387
51;ALL;Number of interations: 100 C1: 0.1 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.3;0.34097397744501673;0.02099974604392374
52;ALL;Number of interations: 100 C1: 0.1 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.5;1.2304420294473317e-05;2.8110846983508964e-13
53;ALL;Number of interations: 100 C1: 0.1 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.9;0.02292194144331221;0.010712965171347566
54;ALL;Number of interations: 100 C1: 0.1 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.3;0.1842730732247607;1.4354785493608802e-07
55;ALL;Number of interations: 100 C1: 0.1 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.5;0.16462236612906206;3.3084646133829665e-13
